score,genres
7.3,"['comedy', 'crime']"
7.4,"['fantasy', 'animation', 'action']"
7.1,"['drama', 'comedy']"
4.4,"['drama', 'comedy', 'crime']"
8.7,['drama']
6.9,"['action', 'animation', 'fantasy']"
6.8,"['fantasy', 'animation', 'action']"
7.0,"['action', 'animation', 'fantasy']"
5.4,"['thriller', 'crime', 'drama']"
5.9,"['fantasy', 'horror', 'comedy', 'family']"
6.5,"['drama', 'comedy', 'romance']"
6.2,"['comedy', 'documentation']"
7.1,"['thriller', 'crime', 'action', 'european']"
7.7,"['drama', 'music']"
7.0,"['romance', 'drama']"
7.6,['comedy']
7.0,"['action', 'animation', 'comedy', 'drama', 'fantasy']"
6.9,"['romance', 'crime', 'comedy']"
7.2,"['thriller', 'european', 'crime', 'drama']"
6.6,"['thriller', 'fantasy', 'action', 'comedy']"
7.1,"['comedy', 'crime']"
7.2,"['fantasy', 'drama', 'animation', 'action']"
8.1,"['comedy', 'drama', 'history', 'crime']"
7.4,"['animation', 'comedy', 'european']"
8.1,"['drama', 'european']"
4.7,"['thriller', 'scifi', 'horror']"
8.0,"['thriller', 'comedy', 'drama', 'romance']"
5.4,"['comedy', 'european']"
6.1,"['drama', 'comedy']"
7.9,"['drama', 'comedy', 'romance']"
7.5,"['drama', 'crime', 'thriller', 'action']"
7.3,"['comedy', 'thriller', 'romance', 'drama']"
6.2,"['animation', 'family', 'european']"
7.4,"['drama', 'romance']"
8.7,['documentation']
7.7,"['comedy', 'drama', 'action', 'crime']"
7.1,"['romance', 'comedy', 'drama']"
6.0,"['drama', 'romance']"
,['documentation']
8.4,"['crime', 'action', 'drama', 'history']"
7.4,"['comedy', 'documentation']"
6.6,"['thriller', 'action', 'crime']"
6.6,"['drama', 'family', 'romance']"
5.1,"['comedy', 'crime']"
7.7,"['comedy', 'documentation']"
8.0,['comedy']
6.6,"['drama', 'comedy', 'romance', 'thriller', 'crime']"
7.2,"['fantasy', 'action', 'comedy', 'animation']"
5.5,"['drama', 'european', 'comedy', 'war']"
8.0,"['comedy', 'drama']"
5.2,"['animation', 'comedy', 'family']"
7.9,"['drama', 'romance']"
7.6,"['war', 'documentation']"
6.2,['animation']
7.2,"['action', 'animation', 'fantasy']"
7.4,"['thriller', 'crime', 'drama', 'romance', 'action']"
7.7,"['romance', 'documentation', 'drama', 'european']"
7.0,"['drama', 'romance', 'thriller', 'action', 'comedy']"
5.3,"['romance', 'comedy']"
7.4,"['comedy', 'documentation']"
6.3,"['fantasy', 'drama', 'romance', 'comedy']"
6.1,"['comedy', 'drama', 'romance']"
7.2,['drama']
7.6,"['fantasy', 'thriller', 'animation', 'action']"
7.4,"['drama', 'comedy', 'romance']"
7.4,"['drama', 'crime', 'action', 'thriller']"
7.2,['comedy']
7.5,"['comedy', 'documentation']"
8.0,"['scifi', 'comedy']"
7.4,"['drama', 'comedy', 'romance']"
7.3,"['drama', 'comedy', 'family']"
8.5,"['comedy', 'drama', 'romance']"
7.4,"['action', 'drama', 'crime']"
7.2,"['drama', 'comedy', 'crime', 'romance']"
4.1,"['action', 'animation', 'comedy']"
,['horror']
7.5,"['drama', 'comedy']"
6.9,"['comedy', 'drama', 'romance']"
7.6,"['thriller', 'crime', 'drama']"
,['crime']
7.4,['documentation']
7.1,"['romance', 'drama']"
,['comedy']
7.1,"['thriller', 'drama', 'romance']"
,['comedy']
7.9,['comedy']
6.3,"['action', 'comedy', 'romance']"
5.0,"['drama', 'sport', 'thriller']"
6.8,"['romance', 'drama', 'european']"
7.3,"['action', 'drama', 'thriller']"
6.3,"['thriller', 'drama', 'music']"
7.1,"['comedy', 'drama', 'romance']"
6.9,"['romance', 'drama']"
7.4,"['drama', 'comedy']"
7.8,"['drama', 'romance', 'war', 'action']"
7.8,['comedy']
6.3,['drama']
6.8,"['drama', 'music']"
7.5,"['drama', 'comedy', 'crime']"
5.3,"['romance', 'comedy', 'drama']"
7.6,"['comedy', 'drama', 'romance']"
7.4,"['drama', 'comedy', 'romance']"
6.8,"['action', 'crime', 'horror', 'thriller', 'war']"
6.2,"['action', 'comedy', 'crime', 'drama', 'thriller']"
4.4,"['horror', 'thriller']"
6.6,"['thriller', 'drama', 'action', 'crime']"
5.7,"['thriller', 'action', 'crime', 'drama', 'romance', 'sport']"
7.5,"['thriller', 'crime', 'romance', 'comedy', 'drama']"
7.3,"['animation', 'fantasy', 'action', 'romance', 'comedy']"
,"['family', 'animation']"
7.2,"['drama', 'thriller', 'comedy']"
8.7,"['comedy', 'drama']"
7.8,"['drama', 'crime', 'action']"
6.5,"['comedy', 'drama', 'romance']"
7.7,['drama']
7.6,"['thriller', 'action', 'crime', 'drama']"
8.3,"['documentation', 'history']"
6.1,"['drama', 'comedy', 'romance']"
,"['drama', 'thriller']"
8.1,"['drama', 'history', 'action']"
7.0,"['romance', 'drama', 'european', 'war']"
6.9,"['drama', 'action', 'thriller', 'crime', 'comedy']"
8.1,['drama']
7.0,['comedy']
5.6,"['drama', 'comedy', 'family']"
6.8,"['thriller', 'action']"
7.1,"['drama', 'thriller', 'crime']"
7.2,['documentation']
8.0,"['documentation', 'crime']"
8.4,"['drama', 'war', 'action']"
7.2,['comedy']
